title,text,subject,label
A VIRAL POST WARN THAT THE WORLD WILL END NEXT MONTH about A NATURAL DISASTER!!!,"This will shock you! A viral post warn that the world will end next month related to a natural disaster. The mainstream media is completely silent about this shocking truth. This proves once and for all what they've been hiding all along. Sources who wish to remain anonymous say this is just the beginning, and that more shocking revelations are coming soon. Do your own research!",News,fake
AN UNNAMED SOURCE CLOSE TO THE FAMILY EXPOSE A MASSIVE COVER-UP about THE UPCOMING ELECTION!!!,"This has been hidden from the public for years! An unnamed source close to the family expose a massive cover-up related to the upcoming election. Share this NOW so the truth can finally come out!!! Click here now before this post gets taken down forever. Sources who wish to remain anonymous say this is just the beginning, and that more shocking revelations are coming soon. Do your own research!",News,fake
SCIENTISTS YOU'VE NEVER HEARD OF WARN THAT THE WORLD WILL END NEXT MONTH about A POLITICAL SCANDAL!!!,"The mainstream media refuses to report this! Scientists you've never heard of warn that the world will end next month related to a political scandal. Nobody is talking about this and that should scare you. The mainstream media is completely silent about this shocking truth. Sources who wish to remain anonymous say this is just the beginning, and that more shocking revelations are coming soon. Do your own research!",News,fake
A MYSTERIOUS WHISTLEBLOWER CLAIM THIS ONE WEIRD TRICK CURES EVERYTHING about THE HOUSING MARKET!!!,"Wake up people, this is huge! A mysterious whistleblower claim this one weird trick cures everything related to the housing market. The mainstream media is completely silent about this shocking truth. This proves once and for all what they've been hiding all along. Sources who wish to remain anonymous say this is just the beginning, and that more shocking revelations are coming soon. Do your own research!",News,fake
SOCIAL MEDIA USERS REVEAL THE TRUTH THEY DON'T WANT YOU TO KNOW about A NATURAL DISASTER!!!,"You won't believe what happens next! Social media users reveal the truth they don't want you to know related to a natural disaster. Thousands of people are waking up to the truth every single day. Click here now before this post gets taken down forever. Sources who wish to remain anonymous say this is just the beginning, and that more shocking revelations are coming soon. Do your own research!",News,fake
A SELF-PROCLAIMED EXPERT CONFIRM ALIENS ARE HIDING AMONG US about THE STOCK MARKET!!!,"Share before it gets deleted! A self-proclaimed expert confirm aliens are hiding among us related to the stock market. Nobody is talking about this and that should scare you. Thousands of people are waking up to the truth every single day. Sources who wish to remain anonymous say this is just the beginning, and that more shocking revelations are coming soon. Do your own research!",News,fake
AN ANONYMOUS INSIDER SHOW THE SHOCKING SECRET BEHIND THE SCENES about A POPULAR CELEBRITY!!!,"This has been hidden from the public for years! An anonymous insider show the shocking secret behind the scenes related to a popular celebrity. Thousands of people are waking up to the truth every single day. Nobody is talking about this and that should scare you. Sources who wish to remain anonymous say this is just the beginning, and that more shocking revelations are coming soon. Do your own research!",News,fake
A LEAKED DOCUMENT SAY THE VACCINE SECRETLY CONTAINS MICROCHIPS about THE UPCOMING ELECTION!!!,"This will shock you! A leaked document say the vaccine secretly contains microchips related to the upcoming election. Nobody is talking about this and that should scare you. Thousands of people are waking up to the truth every single day. Sources who wish to remain anonymous say this is just the beginning, and that more shocking revelations are coming soon. Do your own research!",News,fake
SCIENTISTS YOU'VE NEVER HEARD OF WARN THAT THE WORLD WILL END NEXT MONTH about THE EDUCATION SYSTEM!!!,"The mainstream media refuses to report this! Scientists you've never heard of warn that the world will end next month related to the education system. Click here now before this post gets taken down forever. This proves once and for all what they've been hiding all along. Sources who wish to remain anonymous say this is just the beginning, and that more shocking revelations are coming soon. Do your own research!",News,fake
AN UNNAMED SOURCE CLOSE TO THE FAMILY SHOW THE SHOCKING SECRET BEHIND THE SCENES about A POLITICAL SCANDAL!!!,"This will shock you! An unnamed source close to the family show the shocking secret behind the scenes related to a political scandal. Forward this to everyone you know before it's too late!!! The mainstream media is completely silent about this shocking truth. Sources who wish to remain anonymous say this is just the beginning, and that more shocking revelations are coming soon. Do your own research!",News,fake
